short_window,long_window,trend_window,rsi_buy,rsi_sell,cross_persist,tp_pct,sl_pct,use_vol_filter,max_candles,trades,win_rate,total_pnl,final_portf,sharpe,max_drawdown,avg_candles
20,50,200,55,45,2,0.03,0.02,False,384,112,32.1,-64.93,935.07,-2.59,-6.27,135.9
20,50,200,55,45,2,0.05,0.02,False,384,110,26.4,-72.32,927.68,-2.6,-7.01,161.1
10,50,100,55,45,2,0.08,0.03,False,192,125,31.2,-73.47,926.53,-2.68,-7.97,137.3
20,50,100,55,45,2,0.03,0.02,False,96,132,31.1,-54.68,945.32,-2.68,-5.79,67.6
10,50,200,55,45,2,0.03,0.01,False,192,117,23.1,-47.25,952.75,-2.69,-5.04,86.0
20,50,200,55,45,2,0.03,0.02,False,192,116,32.8,-64.08,935.92,-2.71,-6.19,110.9
10,50,200,55,45,2,0.03,0.03,False,96,120,37.5,-57.07,942.93,-2.74,-5.79,80.7
20,50,200,55,45,2,0.03,0.03,False,192,115,34.8,-69.64,930.36,-2.75,-6.91,134.1
10,50,100,55,45,2,0.03,0.03,False,192,125,33.6,-69.86,930.14,-2.75,-7.43,120.6
20,50,200,55,45,2,0.03,0.03,False,384,111,36.0,-78.15,921.85,-2.78,-7.76,175.6
10,50,100,55,45,2,0.05,0.01,False,384,128,18.0,-56.66,943.34,-2.84,-6.23,108.8
10,50,100,55,45,2,0.05,0.03,False,192,125,31.2,-76.9,923.1,-2.91,-8.39,133.3
10,50,100,55,45,2,0.03,0.01,False,192,128,21.9,-49.83,950.17,-2.94,-5.19,79.3
20,50,200,55,45,2,0.05,0.03,False,384,109,30.3,-91.41,908.59,-2.99,-9.08,204.2
